//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

dye_lightblue;351;12;淡蓝色染料
dye_lightgray;351;7;淡灰色染料
dye_lime;351;10;黄绿色染料
dye_magenta;351;13;品红色染料
dye_orange;351;14;橙色染料
dye_pink;351;9;粉红色染料
dye_purple;351;5;紫色染料
dye_red;351;1;玫瑰红
dye_white;351;15;骨粉
dye_yellow;351;11;蒲公英黄
egg;344;0;鸡蛋
enderpearl;368;0;末影珍珠
feather;288;0;羽毛
feta;mln90;0;item.ml_feta.name
fishcooked;350;0;Cooked Fish
fishraw;349;0;Raw Fish
flint;318;0;燧石
flintandsteel;259;0;打火石
ghasttear;370;0;恶魂之泪
glass;20;0;玻璃
gold;266;0;金锭
goldaxe;286;0;金斧
goldboots;317;0;金靴子
goldchest;315;0;金胸甲
goldhelmet;314;0;金头盔
goldhoe;294;0;金锄
goldlegs;316;0;金护腿
goldore;14;0;金矿石
goldpickaxe;285;0;金镐
goldshovel;284;0;金锹
goldsword;283;0;金剑
grapes;mln75;0;item.ml_vine.name
gravel;13;0;沙砾
gunpowder;289;0;火药
ikayaki;mln96;0;item.ml_ikayaki.name
indianstatue;mln34;0;item.ml_indianstatue.name
iron;265;0;铁锭
ironore;15;0;铁矿石
japaneseguardboots;mln70;0;item.ml_japaneseGuardBoots.name
japaneseguardhelmet;mln68;0;item.ml_japaneseGuardHelmet.name
japaneseguardlegs;mln67;0;item.ml_japaneseGuardLegs.name
japaneseguardplate;mln69;0;item.ml_japaneseGuardPlate.name
japanesewarriorblueboots;mln62;0;item.ml_japaneseWarriorBlueBoots.name
japanesewarriorbluehelmet;mln60;0;item.ml_japaneseWarriorBlueHelmet.name
japanesewarriorbluelegs;mln59;0;item.ml_japaneseWarriorBlueLegs.name
japanesewarriorblueplate;mln61;0;item.ml_japaneseWarriorBluePlate.name
japanesewarriorredboots;mln66;0;item.ml_japaneseWarriorRedBoots.name
japanesewarriorredhelmet;mln64;0;item.ml_japaneseWarriorRedHelmet.name
japanesewarriorredlegs;mln63;0;item.ml_japaneseWarriorRedLegs.name
japanesewarriorredplate;mln65;0;item.ml_japaneseWarriorRedPlate.name
lambcooked;mln89;0;item.ml_lamb_cooked.name
lambraw;mln88;0;item.ml_lamb_raw.name
leather;334;0;皮革
leatherboots;301;0;皮革靴子
leatherchest;299;0;皮革外套
leatherhelmet;298;0;皮革帽子
leatherlegs;300;0;皮革裤子
maize;mln40;0;item.ml_maize.name
masa;mln41;0;item.ml_masa.name
mayanaxe;mln55;0;item.ml_mayanAxe.name
mayangold;1519;2;tile.ml_stone_deco.2.name
mayanhoe;mln57;0;item.ml_mayanHoe.name
mayanmace;mln53;0;item.ml_mayanMace.name
mayanpickaxe;mln54;0;item.ml_mayanPickaxe.name
mayanquestcrown;mln95;0;item.ml_mayanQuestCrown.name
mayanshovel;mln56;0;item.ml_mayanShovel.name
mayanstatue;mln39;0;item.ml_mayanstatue.name
melonseeds;362;0;西瓜种子
melonslice;360;0;西瓜
mudbrick;1519;1;tile.ml_stone_deco.1.name
mushroombrown;39;0;蘑菇
mushroomred;40;0;蘑菇
netherwart;372;0;地狱疣
normanaxe;mln8;0;item.ml_normanAxe.name
normanboots;mln16;0;item.ml_normanBoots.name
normanbroadsword;mln12;0;item.ml_normanBroadsword.name
normanchest;mln14;0;item.ml_normanPlate.name
normanhelmet;mln13;0;item.ml_normanHelmet.name
normanhoe;mln10;0;item.ml_normanHoe.name
normanlegs;mln15;0;item.ml_normanLegs.name
normanpickaxe;mln7;0;item.ml_normanPickaxe.name
normanshovel;mln9;0;item.ml_normanShovel.name
obsidian;49;0;黑曜石
obsidianflake;mln52;0;item.ml_obsidianFlake.name
painting;321;0;画
paper;339;0;纸
paperwall;1521;0;tile.ml_panes.name
parchmentbuildings;mln18;0;item.ml_parchmentBuildings.name
parchmentcomplete;mln20;0;item.ml_marchmentComplete.name
parchmentindianbuildings;mln36;0;item.ml_parchmentIndianBuildings.name
parchmentindiancomplete;mln38;0;item.ml_marchmentIndianComplete.name
parchmentindianitems;mln37;0;item.ml_parchmentIndianItems.name
parchmentindianvillagers;mln35;0;item.ml_parchmentIndianVillagers.name
parchmentitems;mln19;0;item.ml_parchmentItems.name
parchmentjapanesebuildings;mln72;0;item.ml_parchmentJapaneseBuildings.name
parchmentjapanesecomplete;mln74;0;item.ml_parchmentJapaneseComplete.name
parchmentjapaneseitems;mln73;0;item.ml_parchmentJapaneseItems.name
parchmentjapanesevillagers;mln71;0;item.ml_parchmentJapaneseVillagers.name
parchmentmayanbuildings;mln44;0;item.ml_parchmentMayanBuildings.name
parchmentmayancomplete;mln46;0;item.ml_parchmentMayanComplete.name
parchmentmayanitems;mln45;0;item.ml_parchmentMayanItems.name
parchmentmayanvillagers;mln43;0;item.ml_parchmentMayanVillagers.name
parchmentsadhu;mln47;0;item.ml_parchmentSadhu.name
parchmentvillagers;mln17;0;item.ml_parchmentVillagers.name
pathdirt;1525;0;tile.ml_path.0.name
pathdirt_slab;1526;0;tile.ml_path_slab.0.name
pathdirt_slab_stable;1526;8;tile.ml_path_slab.8.name
pathdirt_stable;1525;8;tile.ml_path.8.name
pathgravel;1525;1;tile.ml_path.1.name
pathgravel_slab;1526;1;tile.ml_path_slab.1.name
pathgravel_slab_stable;1526;9;tile.ml_path_slab.9.name
pathgravel_stable;1525;9;tile.ml_path.9.name
pathgravelslabs;1525;5;tile.ml_path.5.name
pathgravelslabs_slab;1526;5;tile.ml_path_slab.5.name
pathgravelslabs_slab_stable;1526;13;tile.ml_path_slab.13.name
pathgravelslabs_stable;1525;13;tile.ml_path.13.name
pathochretiles;1525;4;tile.ml_path.4.name
pathochretiles_slab;1526;4;tile.ml_path_slab.4.name
pathochretiles_slab_stable;1526;12;tile.ml_path_slab.12.name
pathochretiles_stable;1525;12;tile.ml_path.12.name
pathsandstone;1525;3;tile.ml_path.3.name
pathsandstone_slab;1526;3;tile.ml_path_slab.3.name
pathsandstone_slab_stable;1526;11;tile.ml_path_slab.11.name
pathsandstone_stable;1525;11;tile.ml_path.11.name
pathslabs;1525;2;tile.ml_path.2.name
pathslabs_slab;1526;2;tile.ml_path_slab.2.name
pathslabs_slab_stable;1526;10;tile.ml_path_slab.10.name
pathslabs_stable;1525;10;tile.ml_path.10.name
planks_birch;5;2;桦木木板
planks_jungle;5;3;丛林木板
planks_oak;5;0;橡木木板
planks_pine;5;1;云杉木板
porkchops;319;0;生猪排
porkchopscooked;320;0;熟猪排
potato;392;0;马铃薯
pumpkin;86;0;南瓜
pumpkinseeds;361;0;南瓜种子
purse;mln92;0;item.ml_purse.name
rasgulla;mln33;0;item.ml_rasgullaId.name
redflower;38;0;Rose
redstone;331;0;红石
rice;mln28;0;item.ml_rice.name
rottenflesh;367;0;腐肉
saddle;73;0;红石矿石
sake;mln93;0;item.ml_sake.name
sand;12;0;Sand
sandstone;24;0;沙石
sapling;6;0;橡树树苗
sapling_birch;6;2;桦木树苗
sapling_jungle;6;3;丛林树苗
sapling_pine;6;1;云杉树苗
seeds;295;0;小麦种子
shears;359;0;剪刀
silk;mln77;0;item.ml_silk.name
silkwormblockempty;1517;3;tile.ml_wood_deco.3.name
silkwormblockfull;1517;4;tile.ml_wood_deco.4.name
skollhatiamulet;mln26;0;item.ml_skoll_hati_amulet.name
slimeball;341;0;粘液球
snow;78;0;雪
souvlaki;mln91;0;item.ml_souvlaki.name
spidereye;375;0;蜘蛛眼
steelaxe;258;0;铁斧
steelboots;309;0;铁靴子
steelchest;307;0;铁胸甲
steelhelmet;306;0;铁头盔
steelhoe;292;0;铁锄
steellegs;308;0;铁护腿
steelpickaxe;257;0;铁镐
steelshovel;256;0;铁锹
steelsword;267;0;铁剑
stone;1;0;石头
stoneaxe;275;0;石斧
stonebrick;98;0;石砖
stonehoe;291;0;石锄
stonepickaxe;274;0;石镐
stoneshovel;273;0;石锹
stonesword;272;0;石剑
string;287;0;线
sugarcane;338;0;甘蔗
tachisword;mln50;0;item.ml_taichiSword.name
tapestry;mln22;0;item.ml_tapestry.name
thatched;1517;2;tile.ml_wood_deco.2.name
timberframe_cross;1517;1;tile.ml_wood_deco.1.name
timberframe_plain;1517;0;tile.ml_wood_deco.0.name
tnt;46;0;TNT
tripes;mln6;0;item.ml_tripes.name
turmeric;mln29;0;item.ml_turmeric.name
udon;mln49;0;item.ml_udon.name
unknownpowder;mln48;0;item.ml_unknownPowder.name
vegcurry;mln30;0;item.ml_vegcurry.name
villagewand;mln11;0;item.ml_villageWand.name
vines;106;0;藤蔓
vishnuamulet;mln23;0;item.ml_raven_amulet.name
wah;mln42;0;item.ml_wah.name
wheat;296;0;小麦
wine;mln76;0;item.ml_wine.name
winebasic;mln87;0;item.ml_wine_basic.name
wood;17;0;
wood_any;17;-1;
wood_birch;17;2;
wood_jungle;17;3;
wood_oak;17;0;
wood_pine;17;1;
woodaxe;271;0;木斧
woodhoe;290;0;木锄
woodpickaxe;270;0;木镐
woodshovel;269;0;木锹
woodsword;268;0;木剑
wool_black;35;15;黑色羊毛
wool_blue;35;11;蓝色羊毛
wool_brown;35;12;棕色羊毛
wool_cyan;35;9;青色羊毛
wool_gray;35;7;灰色羊毛
wool_green;35;13;绿色羊毛
wool_lightblue;35;3;淡蓝色羊毛
wool_lightgray;35;8;淡灰色羊毛
wool_limegreen;35;5;黄绿色羊毛
wool_magenta;35;2;品红色羊毛
wool_orange;35;1;橙色羊毛
wool_pink;35;6;粉红色羊毛
wool_purple;35;10;紫色羊毛
wool_red;35;14;红色羊毛
wool_white;35;0;羊毛
wool_yellow;35;4;黄色羊毛
yddrasilamulet;mln25;0;item.ml_yddrasil_amulet.name
yellowflower;37;0;Flower
yumibow;mln58;0;item.ml_yumiBow.name
